"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Ryu, Hyun Jin",547943,2017,541,21.4,8.3,".336",".328",36.2,6.9,31.6,"76.812247104","93.150547842",26.1,44.8
"Ureña, José",570632,2017,724,15.6,8.8,".316",".345",34.3,8.6,30.9,"75.156262664","92.867668147",19.9,45.5
"Boyd, Matthew",571510,2017,605,18.2,8.8,".350",".333",34.4,5.9,30.3,"74.904261925","93.145388075",22.6,48.6
"Corbin, Patrick",571578,2017,826,21.5,7.4,".333",".320",30.1,6.7,35.6,"76.167283693","93.879800506",25.6,47
"Fiers, Mike",571666,2017,670,21.8,9.3,".354",".340",33,8,32.8,"74.963662308","93.080269546",21.5,46.2
"Paxton, James",572020,2017,552,28.3,6.7,".263",".256",31.7,2.8,31.3,"76.37520142","93.088450427",28.2,48.2
"Keuchel, Dallas",572971,2017,583,21.4,8.1,".273",".287",23.7,5.1,32.8,"72.74616596","93.177216212",27.1,45.3
"Straily, Dan",573185,2017,769,22.1,7.8,".330",".306",32.4,6.9,29.2,"76.965294825","92.746977879",26.6,49.9
"Stroman, Marcus",573186,2017,834,19.7,7.4,".310",".314",24.3,5,38.6,"77.352262517","94.068462118",23.6,44.5
"Foltynewicz, Mike",592314,2017,692,20.7,8.5,".342",".336",33.8,5.4,32.9,"77.982692318","93.540747189",23,45.2
"Gausman, Kevin",592332,2017,816,21.9,8.7,".346",".343",37.8,8.2,33.7,"76.544743863","93.436369079",25.9,46.5
"Ray, Robbie",592662,2017,665,32.8,10.7,".282",".297",31.5,6.2,41,"79.748876264","94.264737912",34.4,44.7
"Taillon, Jameson",592791,2017,587,21.3,7.8,".337",".305",33,4.1,31.2,"74.9302239","92.8653836",20.3,47
