"last_name, first_name","player_id","year","home_run","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","b_total_bases","woba"
"Hanigan, Ryan",452672,2016,1,23.9,6.2,".171",".238",".230","0.468","14","25",".212"
"Cabrera, Asdrúbal",452678,2016,23,18.1,6.7,".280",".474",".336","0.810","62","247",".345"
"Ellsbury, Jacoby",453056,2016,9,13.6,8.8,".263",".374",".330","0.704","56","206",".308"
"Tulowitzki, Troy",453064,2016,24,18.6,7.9,".254",".443",".318","0.761","79","218",".327"
"Robinson, Shane",453203,2016,1,15.3,9,".173",".235",".257","0.492","10","23",".227"
"Stubbs, Drew",453211,2016,3,40.4,12.8,".225",".338",".330","0.668","7","27",".300"
"Scherzer, Max",453286,2016,0,35.3,2.4,".186",".200",".208","0.408","12","14",".183"
"Richard, Clayton",453385,2016,0,42.9,4.8,".059",".059",".111","0.170","1","1",".087"
"Johnson, Chris",453400,2016,5,29.5,7.2,".222",".329",".281","0.610","24","80",".267"
"Arrieta, Jake",453562,2016,2,40,5.7,".262",".415",".304","0.719","7","27",".310"
"Blackmon, Charlie",453568,2016,29,15.9,6.7,".324",".552",".381","0.933","82","319",".394"
"Ryan, Brendan",453895,2016,0,50,0,".077",".077",".077","0.154","0","1",".068"
"Blanco, Grégor",453923,2016,1,18.7,10.6,".224",".311",".309","0.620","18","75",".272"
"Frazier, Todd",453943,2016,40,24.5,9.6,".225",".464",".302","0.766","98","274",".326"
"Ellis, A.J.",454560,2016,2,15.8,9.7,".216",".298",".301","0.599","22","51",".266"
"Iribarren, Hernan",454975,2016,0,24.4,0,".311",".444",".311","0.755","2","20",".319"
"Iannetta, Chris",455104,2016,7,24.6,11.2,".210",".329",".303","0.632","24","97",".282"
"Maldonado, Martín",455117,2016,8,22.1,13.8,".202",".351",".332","0.683","21","73",".294"
"Chirinos, Robinson",455139,2016,9,25.9,8.8,".224",".483",".314","0.797","20","71",".338"
"Pena, Ramiro",455369,2016,1,17.6,2.2,".299",".425",".330","0.755","10","37",".322"
"Stewart, Chris",455755,2016,1,13.3,10.6,".214",".286",".319","0.605","7","28",".271"
"Young, Chris",455759,2016,9,22,9.3,".276",".498",".352","0.850","24","101",".364"
"Markakis, Nick",455976,2016,13,14.8,10.4,".269",".397",".346","0.743","89","238",".321"
"Pedroia, Dustin",456030,2016,15,10.5,8.7,".318",".449",".376","0.825","74","284",".358"
"Price, David",456034,2016,0,72.7,9.1,".000",".000",".091","0.091","0","0",".063"
"Castillo, Welington",456078,2016,14,26.5,7.2,".264",".423",".322","0.745","68","176",".319"
"Kratz, Erik",456124,2016,1,36.8,1.1,".094",".153",".105","0.258","4","13",".111"
"Bourn, Michael",456422,2016,5,22.3,6.8,".264",".371",".314","0.685","38","139",".298"
"Núñez, Eduardo",456488,2016,16,14.8,4.9,".288",".432",".325","0.757","67","239",".324"
"Cueto, Johnny",456501,2016,0,28.6,2.4,".114",".114",".137","0.251","5","8",".115"
"Pearce, Steve",456665,2016,13,17.9,11.3,".288",".492",".374","0.866","35","130",".371"
"Bailey, Homer",456701,2016,0,9.1,9.1,".100",".100",".182","0.282","0","1",".143"
"Butler, Billy",456714,2016,5,15.3,7.7,".284",".416",".336","0.752","35","104",".324"
"Cain, Lorenzo",456715,2016,9,19.4,7.1,".287",".408",".339","0.747","56","162",".322"
"Solano, Donovan",456781,2016,1,13,4.3,".227",".455",".261","0.716","2","10",".302"
"Saltalamacchia, Jarrod",457454,2016,12,35.6,14,".171",".346",".284","0.630","38","85",".277"
"De Aza, Alejandro",457477,2016,6,25.1,9.7,".205",".321",".297","0.618","25","75",".276"
"Pacheco, Jordan",457574,2016,0,27.5,0,".157",".235",".157","0.392","0","12",".166"
"McCutchen, Andrew",457705,2016,24,21.2,10.2,".256",".430",".336","0.766","79","257",".329"
"Jackson, Austin",457706,2016,0,19.2,8.4,".254",".343",".318","0.661","18","62",".292"
"Upton, Justin",457708,2016,31,28.6,8,".246",".465",".310","0.775","87","265",".329"
"Maybin, Cameron",457727,2016,4,17.6,9.2,".315",".418",".383","0.801","43","146",".352"
"Turner, Justin",457759,2016,27,17.2,7.7,".275",".493",".339","0.832","90","274",".353"
"Posey III, Buster",457763,2016,14,11.1,10.4,".288",".434",".362","0.796","80","234",".341"
"Jennings, Desmond",457775,2016,7,25.8,9.3,".200",".350",".281","0.631","20","70",".278"
"Espinosa, Danny",457787,2016,24,29,9,".209",".378",".306","0.684","72","195",".294"
"Weeks, Jemile",457789,2016,0,24.6,5.3,".140",".200",".204","0.404","2","10",".185"
"Bruce, Jay",457803,2016,33,21.4,7.5,".250",".506",".309","0.815","99","273",".340"
"Happ, J.A.",457918,2016,0,30,0,".286",".286",".286","0.572","0","2",".251"
"Janish, Paul",457926,2016,0,8.6,8.6,".194",".226",".286","0.512","0","7",".241"
"Votto, Joey",458015,2016,29,17.7,16,".326",".550",".434","0.984","97","306",".413"
"Coghlan, Chris",458085,2016,6,24.3,11.7,".188",".318",".290","0.608","30","83",".269"
"Brignac, Reid",458582,2016,0,27.6,0,".207",".276",".207","0.483","1","8",".207"
"Rasmus, Colby",458675,2016,15,29,10.3,".206",".355",".286","0.641","54","131",".282"
"Gardner, Brett",458731,2016,7,16.7,11,".261",".362",".351","0.713","41","198",".317"
"Saunders, Michael",459431,2016,24,28.1,10.6,".253",".478",".338","0.816","57","234",".348"
"Joyce, Matt",459964,2016,13,22.9,20.1,".242",".463",".403","0.866","42","107",".375"
"Hundley, Nick",460026,2016,10,20.5,7.9,".260",".439",".320","0.759","48","127",".323"
"Pennington, Cliff",460060,2016,3,29.3,6.9,".209",".308",".265","0.573","10","53",".253"
"Braun, Ryan",460075,2016,30,17.4,8.2,".305",".538",".365","0.903","91","275",".378"
"Butera, Drew",460077,2016,4,27.1,6,".285",".480",".328","0.808","16","59",".345"
"Gordon, Alex",460086,2016,17,29.2,10.3,".220",".380",".312","0.692","40","169",".303"
"Reimold, Nolan",460099,2016,6,27.3,9.7,".222",".365",".300","0.665","15","74",".292"
"Gimenez, Chris",460269,2016,4,26.5,6.5,".216",".331",".272","0.603","11","46",".265"
"Gómez, Carlos",460576,2016,13,30,7.5,".231",".384",".298","0.682","53","158",".296"
"Moss, Brandon",461235,2016,28,30.4,8.4,".225",".484",".300","0.784","67","200",".329"
"Kemp, Matt",461314,2016,35,23.2,5.4,".268",".499",".304","0.803","108","311",".333"
"Venable, Will",461416,2016,0,26.3,0,".056",".111",".105","0.216","0","2",".103"
"Gonzalez, Gio",461829,2016,0,40.7,0,".135",".173",".148","0.321","2","9",".141"
"Plouffe, Trevor",461858,2016,12,17.4,5.5,".260",".420",".303","0.723","47","134",".311"
"Romine, Andrew",461865,2016,2,19.6,6.7,".236",".322",".304","0.626","16","56",".279"
"Andrus, Elvis",462101,2016,8,12.3,8.3,".302",".439",".362","0.801","69","222",".344"
"Petit, Gregorio",463610,2016,2,22.9,6.7,".245",".348",".299","0.647","17","71",".282"
"Cervelli, Francisco",465041,2016,1,18.3,14.2,".264",".322",".377","0.699","33","105",".318"
"Florimón, Pedro",465753,2016,0,48,4,".208",".333",".240","0.573","4","8",".245"
"Cabrera, Melky",466320,2016,14,10.7,7.3,".296",".455",".345","0.800","86","269",".342"
"Bonifácio, Emilio",466988,2016,0,27.9,7,".211",".211",".268","0.479","3","8",".222"
"Ramos, Wilson",467092,2016,22,15.1,6.7,".307",".496",".354","0.850","80","239",".361"
"Nova, Iván",467100,2016,0,64.3,0,".115",".115",".115","0.230","0","3",".101"
"Santana, Carlos",467793,2016,34,14.4,14.4,".259",".498",".366","0.864","87","290",".370"
"Parra, Gerardo",467827,2016,7,19.2,2.4,".253",".399",".271","0.670","39","147",".284"
"Chacín, Jhoulys",468504,2016,0,10,0,".300",".300",".300","0.600","1","3",".264"
"Montero, Miguel",471083,2016,8,20.4,13.4,".216",".357",".327","0.684","33","86",".299"
"González, Carlos",471865,2016,25,20.4,7.3,".298",".505",".350","0.855","100","295",".361"
"Valbuena, Luis",472528,2016,13,23.7,12.9,".260",".459",".357","0.816","40","134",".351"
"McBride, Matt",473724,2016,0,22.7,2.3,".209",".279",".227","0.506","2","12",".220"
"Conger, Hank",474233,2016,3,29.2,8.8,".194",".306",".265","0.571","10","38",".254"
"Snyder, Brandon",474319,2016,4,34,2.1,".239",".652",".255","0.907","9","30",".370"
"De Jesús Jr., Iván",474443,2016,1,21,7,".253",".312",".311","0.623","20","69",".277"
"Mercer, Jordy",474568,2016,11,14.2,8.7,".256",".374",".328","0.702","59","194",".304"
"Belt, Brandon",474832,2016,17,22.6,15.9,".275",".474",".394","0.868","82","257",".374"
"Borbon, Julio",474865,2016,0,20,0,".308",".308",".308","0.616","0","4",".270"
"Carter, Chris",474892,2016,41,32,11.8,".222",".499",".321","0.820","94","274",".346"
"Van Slyke, Scott",475100,2016,1,21.2,4.4,".225",".314",".292","0.606","7","32",".267"
"Alonso, Yonder",475174,2016,7,13.9,8.5,".253",".367",".316","0.683","56","177",".299"
"Wood, Travis",475243,2016,0,41.7,8.3,".182",".182",".250","0.432","1","2",".204"
"Flaherty, Ryan",475247,2016,3,27.3,9.7,".217",".318",".291","0.609","15","50",".269"
"Smoak, Justin",475253,2016,14,32.8,11.7,".217",".391",".314","0.705","34","117",".309"
"Phelps, David",475479,2016,0,23.1,0,".182",".182",".182","0.364","1","2",".160"
"Zimmerman, Ryan",475582,2016,15,22.3,6.2,".218",".370",".272","0.642","46","158",".277"
"Hellickson, Jeremy",476451,2016,0,36.4,6.1,".167",".185",".224","0.409","4","10",".190"
"Lowrie, Jed",476704,2016,2,17.6,7,".263",".322",".314","0.636","27","109",".282"
"Álvarez, Pedro",476883,2016,22,25.8,9.8,".249",".504",".322","0.826","49","170",".349"
"Niese, Jonathon",477003,2016,0,41.2,5.9,".100",".133",".156","0.289","1","4",".137"
"Kershaw, Clayton",477132,2016,0,24,2,".174",".196",".191","0.387","3","9",".172"
"Wallace, Brett",477165,2016,6,32.4,11.3,".189",".318",".309","0.627","20","69",".280"
"Davis, Ike",477195,2016,0,33.3,6.7,".214",".214",".267","0.481","1","3",".222"
"Carrera, Ezequiel",485567,2016,6,22.6,8.7,".248",".356",".323","0.679","23","96",".301"
"Avila, Alex",488671,2016,7,37.3,18.2,".213",".373",".359","0.732","11","63",".329"
"Barnes, Brandon",488681,2016,0,27.5,2.8,".220",".320",".250","0.570","8","32",".247"
"Bourjos, Peter",488721,2016,5,23.8,4.4,".251",".389",".292","0.681","23","138",".291"
"Brantley Jr., Michael",488726,2016,0,14,7,".231",".282",".279","0.561","7","11",".238"
"Cashner, Andrew",488768,2016,0,32.5,7.5,".176",".176",".243","0.419","1","6",".198"
"Castro, Jason",488771,2016,11,32.7,12,".210",".377",".307","0.684","32","124",".301"
"d'Arnaud, Chase",488818,2016,1,19.1,8.8,".245",".335",".317","0.652","21","78",".287"
"Escobar, Yunel",488862,2016,5,11.8,7.1,".304",".391",".355","0.746","39","202",".327"
"Gosewisch, Tuffy",488912,2016,3,22.2,7.1,".156",".289",".224","0.513","7","26",".228"
"Miley, Wade",489119,2016,0,16.7,0,".182",".182",".182","0.364","0","2",".160"
"Morrison, Logan",489149,2016,14,22.4,9.3,".238",".414",".319","0.733","43","146",".318"
"Recker, Anthony",489232,2016,2,19.6,14.3,".278",".433",".394","0.827","15","39",".361"
"Rosales, Adam",489267,2016,13,35.5,11.7,".229",".495",".319","0.814","35","106",".340"
"Scruggs, Xavier",489305,2016,1,29,7.2,".210",".306",".290","0.596","5","19",".269"
"Thole, Josh",489365,2016,1,20.6,9.6,".169",".220",".254","0.474","7","26",".220"
"Garza, Matt",490063,2016,0,51.5,6.1,".036",".036",".100","0.136","0","1",".075"
"Hernández, Gorkys",491676,2016,2,19.3,5.3,".259",".463",".298","0.761","4","25",".324"
"Sucre, Jesús",491696,2016,1,17.2,6.9,".480",".680",".552","1.232","5","17",".525"
"Graterol, Juan",492802,2016,0,20,0,".286",".429",".286","0.715","3","6",".303"
"Martinez, Michael",492841,2016,1,21.7,3.8,".238",".307",".267","0.574","4","31",".252"
"Aoki, Norichika",493114,2016,4,9.7,7.3,".283",".388",".349","0.737","28","162",".325"
"Kawasaki, Munenori",493128,2016,0,19.2,15.4,".333",".429",".462","0.891","1","9",".398"
"Lee, Dae-Ho",493193,2016,14,23.3,6.3,".253",".428",".312","0.740","49","125",".318"
"Cespedes, Yoenis",493316,2016,31,19.9,9.4,".280",".530",".354","0.884","86","254",".369"
"Gurriel Jr., Yuli",493329,2016,3,8.8,3.6,".262",".385",".292","0.677","15","50",".292"
"Olivera, Héctor",493343,2016,0,23.8,4.8,".211",".263",".238","0.501","2","5",".218"
"Ramirez, Alexei",493351,2016,6,12.5,4.2,".241",".333",".277","0.610","48","159",".264"
"Campbell, Eric",493472,2016,1,27.3,11.4,".173",".227",".284","0.511","9","17",".237"
"Beckham, Gordon",493596,2016,5,18.6,9.3,".212",".347",".294","0.641","31","85",".281"
"Colabello, Chris",499624,2016,0,28.1,6.3,".069",".069",".156","0.225","1","2",".121"
"Solarte, Yangervis",500208,2016,15,14.2,6.8,".286",".467",".341","0.808","71","189",".346"
"Rojas, Miguel",500743,2016,1,12.6,5.1,".247",".325",".288","0.613","14","63",".265"
"Escobar, Eduardo",500871,2016,6,19.1,5.6,".236",".338",".280","0.618","37","119",".269"
"Martínez, José A.",500874,2016,0,5.6,11.1,".438",".500",".500","1.000","1","8",".439"
"Adrianza, Ehire",501303,2016,2,18.3,2.8,".254",".381",".299","0.680","7","24",".297"
"Lagares, Juan",501571,2016,3,16.9,6.9,".239",".380",".301","0.681","9","54",".294"
"Almonte, Abraham",501659,2016,1,21.6,4.1,".264",".401",".294","0.695","22","73",".294"
"Kalish, Ryan",501888,2016,0,0,10,".286",".286",".444","0.730","2","2",".352"
"Freese, David",501896,2016,13,28.9,9.1,".270",".412",".352","0.764","55","180",".334"
"Davis, Khris",501981,2016,42,27.2,6.9,".247",".524",".307","0.831","102","291",".349"
"Hunter, Cedric",501986,2016,1,16.7,5.6,".088",".176",".139","0.315","1","6",".143"
"Norris, Bud",502032,2016,0,18.4,7.9,".222",".296",".323","0.619","1","8",".282"
"Burriss, Emmanuel",502034,2016,0,20,4,".111",".178",".184","0.362","0","8",".169"
"Locke, Jeff",502046,2016,0,43.6,2.6,".125",".125",".152","0.277","0","4",".127"
"Pham, Tommy",502054,2016,9,38.8,10.9,".226",".440",".324","0.764","17","70",".330"
"Chisenhall, Lonnie",502082,2016,8,16.7,5.5,".286",".439",".328","0.767","57","169",".327"
"Presley, Alex",502100,2016,3,18.7,8.2,".198",".289",".269","0.558","11","35",".247"
"Martinez, J.D.",502110,2016,22,24.8,9.5,".307",".535",".373","0.908","68","246",".384"
"Valencia, Danny",502143,2016,17,22.2,7.9,".287",".446",".346","0.792","51","210",".342"
"Clevenger, Steve",502182,2016,1,18.4,10.5,".221",".309",".303","0.612","7","21",".275"
"Samardzija, Jeff",502188,2016,0,40.6,1.4,".156",".234",".164","0.398","9","15",".169"
"Leake, Mike",502190,2016,0,34.5,5.5,".143",".163",".192","0.355","4","8",".165"
"Green, Grant",502205,2016,1,16,6,".261",".370",".300","0.670","7","17",".290"
"Reddick, Josh",502210,2016,10,12.8,8.9,".281",".405",".345","0.750","37","161",".324"
"Gentry, Craig",502226,2016,0,15.4,7.7,".147",".176",".237","0.413","2","6",".199"
"Cahill, Trevor",502239,2016,0,36.4,9.1,".125",".125",".222","0.347","1","1",".174"
"Gillespie, Cole",502261,2016,0,25.5,5.5,".235",".373",".273","0.646","5","19",".274"
"Freeman, Mike",502273,2016,0,29.2,8.3,".227",".273",".292","0.565","1","6",".256"
"Ladendorf, Tyler",502285,2016,0,26,2,".083",".083",".102","0.185","1","4",".086"
"Heisey, Chris",502317,2016,9,28.4,8.4,".216",".446",".290","0.736","17","62",".315"
"Dyson, Jarrod",502481,2016,1,11.6,7.7,".278",".388",".340","0.728","25","116",".316"
"Murphy, Daniel",502517,2016,25,9.8,6,".347",".595",".390","0.985","104","316",".408"
"O'Malley, Shawn",502523,2016,2,25.4,7.8,".229",".319",".299","0.618","17","67",".276"
